kidsdriv,age,homekids,yoj,income,parent1,home_val,mstatus,gender,education,occupation,travtime,car_use,bluebook,tif,car_type,red_car,oldclaim,clm_freq,revoked,mvr_pts,clm_amt,car_age,claim_flag,urbanicity
0,36.0,0,11.0,105384.0,False,267509.0,True,male,Masters,Professional,24,Private,13800.0,7,Minivan,yes,31695.0,3,Yes,4,0.0,17.0,0,Urban
0,41.0,0,10.0,66265.0,False,159276.0,True,male,Masters,Lawyer,59,Private,12230.0,4,Minivan,yes,0.0,0,No,1,13105.0,9.0,1,Urban
0,46.0,0,7.0,,False,,False,male,Masters,,17,Commercial,23350.0,13,Panel Truck,yes,4678.0,3,No,6,4061.0,17.0,1,Urban
0,45.0,0,12.0,32394.0,False,0.0,False,female,High School,Clerical,33,Private,13770.0,4,SUV,no,0.0,0,No,0,0.0,1.0,0,Urban
0,42.0,0,9.0,76226.0,False,217920.0,True,male,Bachelors,Blue Collar,18,Commercial,23390.0,13,Panel Truck,yes,0.0,0,No,0,0.0,14.0,0,Urban
1,38.0,3,16.0,7528.0,False,113809.0,True,male,below High School,Clerical,26,Private,8080.0,1,Pickup,yes,0.0,0,No,0,0.0,8.0,0,Rural
0,33.0,4,0.0,0.0,True,0.0,False,male,High School,Student,14,Commercial,15090.0,1,Minivan,yes,1631.0,1,No,2,7838.0,5.0,1,Urban
0,37.0,0,0.0,,False,73890.0,True,female,Bachelors,Student,48,Commercial,12850.0,7,SUV,no,0.0,0,No,3,3660.0,6.0,1,Urban
1,42.0,1,9.0,32797.0,False,160661.0,True,female,Masters,Lawyer,63,Private,21690.0,1,Minivan,no,0.0,0,No,2,0.0,14.0,0,Urban
0,47.0,0,11.0,44705.0,False,217885.0,True,female,Bachelors,Professional,50,Private,12840.0,1,SUV,no,1533.0,2,No,0,5125.0,10.0,1,Urban
0,43.0,1,0.0,0.0,False,70170.0,True,female,Bachelors,Home Maker,26,Private,8350.0,1,SUV,no,0.0,0,No,3,0.0,7.0,0,Urban
0,52.0,0,9.0,68992.0,False,216986.0,False,female,Bachelors,Blue Collar,36,Commercial,15120.0,1,Minivan,no,0.0,0,No,3,0.0,10.0,0,Rural
0,43.0,0,11.0,132561.0,False,314433.0,False,male,Masters,Professional,8,Commercial,30150.0,16,Panel Truck,no,12294.0,1,No,0,0.0,1.0,0,Urban
0,64.0,0,15.0,31738.0,False,197010.0,True,male,below High School,Blue Collar,23,Commercial,14620.0,6,SUV,no,3994.0,2,No,0,5085.0,1.0,1,Urban
0,66.0,1,17.0,96830.0,False,325826.0,True,male,Masters,Professional,23,Private,11180.0,7,SUV,no,0.0,0,No,0,0.0,16.0,0,Urban
0,60.0,0,9.0,125893.0,False,0.0,False,male,PhD,,21,Commercial,7500.0,9,Pickup,yes,7278.0,2,No,4,0.0,15.0,0,Urban
2,35.0,4,6.0,154577.0,True,397868.0,False,female,Bachelors,Blue Collar,27,Private,20450.0,6,SUV,no,4645.0,1,No,3,0.0,1.0,0,Urban
0,52.0,0,7.0,64014.0,False,244863.0,True,male,below High School,Blue Collar,33,Commercial,7900.0,4,Pickup,yes,8882.0,3,No,1,2143.0,5.0,1,Urban
0,52.0,0,11.0,79348.0,False,270032.0,True,female,High School,Manager,23,Private,13150.0,11,SUV,no,0.0,0,No,2,0.0,1.0,0,Urban
0,56.0,2,14.0,192089.0,False,471701.0,True,male,PhD,,31,Commercial,21100.0,1,Van,yes,0.0,0,No,0,6484.0,,1,Urban
1,38.0,1,7.0,,False,0.0,True,female,High School,Student,40,Private,7050.0,4,Sports Car,no,0.0,0,No,0,0.0,10.0,0,Rural
0,55.0,0,15.0,108152.0,False,329756.0,True,female,Masters,Manager,18,Private,12320.0,1,SUV,no,0.0,0,Yes,0,0.0,15.0,0,Urban
0,47.0,0,14.0,,False,276241.0,True,male,Bachelors,Manager,48,Private,21320.0,1,Van,yes,0.0,0,No,0,0.0,13.0,0,Urban
0,37.0,0,12.0,123520.0,False,383731.0,True,male,Bachelors,Blue Collar,14,Commercial,17550.0,1,Van,no,0.0,0,No,0,0.0,,0,Urban
0,47.0,0,13.0,45257.0,False,160051.0,True,male,Bachelors,Clerical,33,Commercial,29210.0,6,Panel Truck,yes,0.0,0,No,0,0.0,,0,Urban
0,26.0,0,8.0,53244.0,False,0.0,False,male,Bachelors,Professional,28,Commercial,20920.0,3,Van,yes,6224.0,1,No,1,4028.0,8.0,1,Urban
1,61.0,2,17.0,41857.0,False,169015.0,True,female,Masters,Manager,35,Private,20870.0,1,Sports Car,no,0.0,0,No,0,0.0,21.0,0,Urban
0,41.0,1,8.0,126468.0,True,0.0,False,female,Masters,Manager,34,Commercial,32690.0,3,Pickup,no,0.0,0,No,2,2114.0,18.0,1,Urban
3,40.0,3,9.0,75516.0,False,247673.0,True,female,High School,Blue Collar,53,Commercial,13050.0,5,Sports Car,no,0.0,0,Yes,0,0.0,6.0,0,Rural
0,52.0,0,16.0,76954.0,False,249290.0,False,male,Bachelors,Professional,44,Private,19540.0,6,Minivan,yes,0.0,0,Yes,0,0.0,11.0,0,Urban
0,58.0,1,8.0,150352.0,False,421665.0,True,female,Masters,Manager,21,Private,24240.0,6,Pickup,no,0.0,0,No,0,0.0,17.0,0,Urban
0,52.0,0,8.0,88560.0,False,244028.0,True,male,Masters,Lawyer,14,Private,13630.0,1,Minivan,no,0.0,0,No,4,0.0,17.0,0,Urban
1,38.0,1,12.0,37580.0,False,173495.0,True,female,below High School,Clerical,36,Private,5260.0,7,SUV,no,867.0,2,No,0,8671.0,1.0,1,Urban
0,41.0,2,15.0,23344.0,False,147172.0,True,male,High School,Blue Collar,10,Private,7930.0,1,Pickup,no,0.0,0,No,1,6287.0,1.0,1,Urban
0,37.0,0,16.0,43290.0,False,158771.0,True,female,Bachelors,Blue Collar,29,Private,23640.0,1,SUV,no,0.0,0,No,0,0.0,10.0,0,Urban
0,48.0,0,10.0,48737.0,False,220264.0,True,male,Bachelors,Manager,24,Private,11220.0,9,Pickup,yes,0.0,0,No,1,0.0,1.0,0,Urban
0,47.0,0,12.0,64259.0,False,202031.0,True,male,High School,Clerical,26,Private,25100.0,18,Minivan,no,9526.0,4,No,3,0.0,9.0,0,Urban
0,41.0,0,12.0,110386.0,False,335488.0,True,male,Masters,,21,Commercial,16640.0,1,Van,yes,0.0,0,No,2,3524.0,14.0,1,Urban
0,49.0,0,12.0,53765.0,False,0.0,False,female,Bachelors,Professional,5,Private,12360.0,4,SUV,no,0.0,0,No,0,0.0,1.0,0,Urban
0,41.0,0,6.0,12541.0,False,0.0,False,male,below High School,Clerical,5,Private,7500.0,1,Minivan,yes,0.0,0,No,0,0.0,1.0,0,Rural
0,47.0,0,12.0,104271.0,False,265153.0,True,male,Masters,,40,Commercial,36120.0,4,Panel Truck,yes,0.0,0,No,0,0.0,11.0,0,Urban
0,30.0,2,,26226.0,False,165178.0,True,female,High School,Clerical,68,Private,23610.0,4,SUV,no,0.0,0,No,1,0.0,1.0,0,Rural
0,44.0,1,,67278.0,False,220556.0,True,female,Masters,Lawyer,49,Private,20210.0,1,Minivan,no,0.0,0,No,0,0.0,16.0,0,Rural
0,46.0,0,10.0,104990.0,False,306540.0,False,female,Bachelors,Professional,40,Private,16080.0,13,SUV,no,0.0,0,No,0,0.0,7.0,0,Urban
0,49.0,0,6.0,89948.0,False,0.0,False,female,Bachelors,Professional,37,Private,18160.0,7,SUV,no,0.0,0,No,4,0.0,9.0,0,Urban
0,33.0,1,12.0,111427.0,False,321483.0,True,female,Masters,,35,Commercial,28180.0,1,Van,no,0.0,0,No,3,0.0,4.0,0,Urban
1,34.0,3,12.0,29431.0,False,143149.0,True,female,below High School,Clerical,12,Private,22560.0,1,Minivan,no,0.0,0,No,1,0.0,,0,Urban
0,44.0,0,14.0,44790.0,False,205463.0,True,female,Masters,,5,Commercial,19800.0,4,Pickup,no,37163.0,1,No,4,0.0,9.0,0,Urban
1,43.0,2,11.0,76159.0,True,0.0,False,female,Bachelors,Professional,52,Private,19750.0,4,SUV,no,0.0,0,Yes,0,1807.0,,1,Urban
0,62.0,0,6.0,107734.0,False,0.0,False,female,PhD,Lawyer,54,Private,18470.0,3,SUV,no,0.0,0,No,0,0.0,15.0,0,Urban
0,42.0,0,0.0,0.0,False,,False,male,below High School,Student,47,Commercial,5700.0,11,Pickup,yes,0.0,0,No,5,10594.0,1.0,1,Urban
0,36.0,2,12.0,25282.0,True,0.0,False,female,High School,Clerical,38,Private,11160.0,1,SUV,no,0.0,0,No,0,0.0,1.0,0,Rural
0,47.0,0,11.0,18549.0,False,116136.0,True,male,Masters,Lawyer,24,Private,12800.0,7,Minivan,no,0.0,0,No,0,0.0,14.0,0,Urban
0,50.0,0,14.0,,False,147191.0,True,male,High School,Clerical,11,Commercial,17300.0,13,Van,yes,0.0,0,No,0,0.0,7.0,0,Urban
0,51.0,0,9.0,50166.0,False,187297.0,False,male,High School,Blue Collar,32,Commercial,11620.0,1,Pickup,no,50701.0,3,Yes,0,0.0,1.0,0,Urban
0,46.0,0,8.0,73872.0,False,245878.0,True,female,Masters,Lawyer,43,Private,20240.0,4,Sports Car,no,0.0,0,No,0,0.0,16.0,0,Rural
0,50.0,0,14.0,73343.0,False,254600.0,True,female,High School,Manager,60,Private,20010.0,1,Minivan,no,4179.0,2,No,4,0.0,8.0,0,Urban
0,43.0,2,15.0,49849.0,True,0.0,False,female,Masters,Lawyer,35,Private,13130.0,1,SUV,no,3622.0,3,No,4,6158.0,20.0,1,Urban
1,39.0,1,16.0,12054.0,False,0.0,True,female,below High School,Student,28,Commercial,15760.0,4,Pickup,no,1738.0,2,Yes,4,4887.0,1.0,1,Urban
0,43.0,3,14.0,48184.0,False,209188.0,True,female,High School,Blue Collar,50,Commercial,14530.0,12,Sports Car,no,6891.0,2,No,5,0.0,1.0,0,Urban
0,60.0,3,18.0,78936.0,False,235670.0,True,female,Masters,Lawyer,40,Private,20350.0,6,SUV,no,0.0,0,No,0,5147.0,15.0,1,Urban
0,55.0,0,0.0,0.0,False,0.0,False,male,below High School,Student,33,Private,7000.0,4,Pickup,no,0.0,0,No,0,0.0,1.0,0,Rural
